"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
2.9663e+06;3.12899e-07;-2.98633e-07
2.97363e+06;-1.81392e-07;-1.55328e-07
2.98095e+06;-1.11275e-07;1.65875e-07
2.98828e+06;1.65086e-07;-7.07956e-08
2.9956e+06;-6.91958e-08;7.84973e-08
3.00292e+06;-2.00935e-08;-2.09776e-07
3.01025e+06;-6.98957e-09;3.09286e-07
3.01757e+06;1.17188e-07;-2.50916e-07
3.0249e+06;-1.1964e-07;6.26937e-08
3.03222e+06;1.23164e-07;-5.10173e-08
3.03954e+06;-3.33637e-07;-1.51425e-07
3.04687e+06;8.84886e-08;5.39256e-07
3.05419e+06;3.2599e-07;-3.84337e-07
3.06152e+06;-3.28091e-07;1.25369e-07
3.06884e+06;3.04505e-07;-8.86202e-09
3.07617e+06;-1.87037e-07;-1.72024e-07
3.08349e+06;-2.20065e-09;1.23627e-07
3.09081e+06;-7.32317e-08;-1.16171e-08
3.09814e+06;1.14514e-07;9.06881e-08
3.10546e+06;6.72499e-08;-2.72893e-08
3.11279e+06;-1.04876e-07;-2.88268e-07
3.12011e+06;-1.58264e-07;4.24815e-07
3.12744e+06;3.04772e-07;-2.19142e-07
3.13476e+06;-2.07977e-07;9.86127e-08
3.14208e+06;1.97615e-07;-1.85542e-07
3.14941e+06;-3.65909e-07;2.06315e-07
3.15673e+06;4.13314e-07;1.3608e-08
3.16406e+06;-1.30477e-07;-1.78881e-07
3.17138e+06;-2.03986e-07;4.96768e-08
3.1787e+06;2.25117e-07;2.35576e-07
3.18603e+06;1.52654e-08;-1.19502e-07
3.19335e+06;2.40717e-07;-2.28662e-07
3.20068e+06;-5.65803e-07;3.90952e-08
3.208e+06;4.87883e-07;1.32302e-07
3.21533e+06;-4.4353e-07;-3.08017e-07
3.22265e+06;8.10722e-08;5.5517e-07
3.22997e+06;2.70647e-07;-3.53256e-07
3.2373e+06;-9.93334e-08;1.1988e-07
3.24462e+06;-1.58582e-07;-3.0957e-07
3.25195e+06;-1.98141e-08;4.55643e-07
3.25927e+06;8.34083e-08;-1.2835e-07
3.2666e+06;1.61956e-07;2.15947e-08
3.27392e+06;-9.19559e-08;-1.15607e-07
3.28124e+06;-1.61792e-07;-2.70461e-08
3.28857e+06;1.91312e-07;3.89006e-07
3.29589e+06;1.65372e-07;-4.54077e-07
3.30322e+06;-2.5773e-07;1.09487e-07
3.31054e+06;1.49914e-07;2.08067e-08
3.31786e+06;-1.16772e-07;-1.32133e-07
3.32519e+06;-8.91059e-09;7.40543e-08
3.33251e+06;-1.56994e-07;3.66922e-08
3.33984e+06;1.15466e-07;1.25638e-07
3.34716e+06;4.76517e-08;1.64645e-07
3.35449e+06;3.2368e-07;-1.92059e-07
3.36181e+06;-4.71131e-08;-2.18179e-07
3.36913e+06;-3.05492e-07;-1.83274e-07
3.37646e+06;-7.40653e-08;2.98284e-07
3.38378e+06;1.33305e-08;6.60525e-09
3.39111e+06;1.79519e-07;6.07006e-08
3.39843e+06;-1.46208e-07;-6.06279e-08
3.40575e+06;2.59467e-07;-1.66684e-07
3.41308e+06;-6.30831e-07;1.72511e-07
3.4204e+06;6.51997e-07;1.40034e-07
3.42773e+06;-3.91071e-07;-1.49904e-07
3.43505e+06;2.88529e-07;4.12093e-08
3.44238e+06;-1.98825e-07;7.42987e-08
3.4497e+06;2.44379e-07;-2.15617e-07
3.45702e+06;-3.61368e-07;1.20439e-07
3.46435e+06;2.19374e-07;1.73426e-07
3.47167e+06;1.5117e-07;-2.42047e-07
3.479e+06;-2.92689e-07;4.53948e-08
3.48632e+06;9.49677e-08;9.75334e-08
3.49365e+06;2.12049e-07;9.36557e-08
3.50097e+06;-8.42652e-08;-4.80573e-07
3.50829e+06;-3.78121e-07;4.2774e-07
3.51562e+06;5.22113e-07;4.20344e-08
3.52294e+06;-1.30986e-07;-3.44975e-07
3.53027e+06;-2.3431e-07;5.2917e-08
3.53759e+06;-3.159e-08;2.87479e-07
3.54491e+06;4.67666e-07;-2.97493e-08
3.55224e+06;-3.06198e-07;-4.1776e-07
3.55956e+06;-1.1325e-07;1.79624e-07
3.56689e+06;-2.8037e-08;2.94692e-07
3.57421e+06;3.65909e-07;-3.88996e-07
3.58154e+06;-6.94006e-07;9.62882e-08
3.58886e+06;4.59896e-07;4.7702e-07
3.59618e+06;4.34918e-08;-3.15773e-07
3.60351e+06;8.5803e-08;1.20455e-07
3.61083e+06;1.05896e-07;-3.24101e-07
3.61816e+06;-3.81934e-07;1.1142e-07
3.62548e+06;2.71499e-07;-4.14789e-08
3.63281e+06;-3.16973e-07;1.91422e-08
3.64013e+06;8.03401e-08;2.64634e-07
3.64745e+06;3.12787e-07;-1.14933e-07
3.65478e+06;-1.66235e-07;-1.02861e-07
3.6621e+06;7.30483e-08;3.18902e-08
3.66943e+06;2.98885e-09;-2.66979e-07
3.67675e+06;-4.59082e-07;3.0432e-07
3.68407e+06;6.19621e-07;5.68956e-08
3.6914e+06;-5.14007e-07;-3.1909e-07
3.69872e+06;2.23342e-07;5.92683e-07
3.70605e+06;3.11164e-07;-3.88275e-07
3.71337e+06;-1.25731e-07;-2.19099e-07
3.7207e+06;-5.0427e-07;3.83604e-08
3.72802e+06;4.55402e-07;4.98982e-07
3.73534e+06;-1.60794e-07;-5.91841e-07
3.74267e+06;2.25771e-09;4.83583e-07
3.74999e+06;-5.58546e-08;-2.04853e-07
3.75732e+06;4.90003e-07;1.50281e-07
3.76464e+06;-6.68636e-07;-5.98574e-07
3.77197e+06;2.01687e-07;8.12142e-07
3.77929e+06;1.58342e-07;-3.80979e-07
3.78661e+06;-9.7445e-08;6.10932e-08
3.79394e+06;1.96507e-07;7.09051e-08
3.80126e+06;-1.51458e-07;-3.17288e-07
3.80859e+06;-1.2542e-07;2.08079e-07
3.81591e+06;1.94951e-07;2.20251e-07
3.82323e+06;1.19467e-07;-5.51808e-07
3.83056e+06;-4.1911e-07;3.11279e-07
3.83788e+06;1.84159e-07;-1.30132e-08
3.84521e+06;9.44533e-08;9.74322e-09
3.85253e+06;-3.22973e-07;-1.66157e-07
3.85986e+06;1.79881e-07;4.76456e-07
3.86718e+06;1.94923e-07;-4.49315e-07
3.8745e+06;-5.79096e-07;2.87598e-07
3.88183e+06;8.2728e-07;4.03862e-07
3.88915e+06;8.7517e-09;-9.55452e-07
3.89648e+06;-8.11975e-07;3.25181e-07
3.9038e+06;6.83955e-07;3.47265e-07
3.91112e+06;-3.61415e-07;-4.9982e-07
3.91845e+06;1.12401e-07;5.78575e-07
3.92577e+06;4.52217e-07;-5.77155e-07
3.9331e+06;-8.83651e-07;-1.59359e-07
3.94042e+06;2.54028e-07;7.34999e-07
3.94775e+06;1.465e-07;-2.41374e-07
3.95507e+06;2.95833e-07;1.34006e-07
3.96239e+06;-2.40329e-07;-5.80377e-07
3.96972e+06;-1.01093e-07;5.89864e-07
3.97704e+06;2.43627e-07;-5.2036e-07
3.98437e+06;-4.31004e-07;2.73507e-07
3.99169e+06;9.57214e-08;1.08667e-07
3.99902e+06;3.94915e-07;1.96193e-07
4.00634e+06;-2.4645e-07;-6.67881e-07
4.01366e+06;-7.80937e-08;7.21921e-07
4.02099e+06;2.28941e-07;-5.39335e-07
4.02831e+06;-1.26848e-07;3.68209e-07
4.03564e+06;1.97875e-07;-4.74372e-07
4.04296e+06;-6.83885e-07;2.40927e-07
4.05028e+06;7.71718e-07;3.67454e-07
4.05761e+06;-4.00591e-07;-6.53384e-07
4.06493e+06;-1.00734e-07;4.04729e-07
4.07226e+06;7.61532e-08;1.90029e-07
4.07958e+06;2.46868e-07;-5.61606e-08
4.08691e+06;1.57466e-07;-2.01037e-07
4.09423e+06;-3.74361e-07;-1.18254e-07
4.10155e+06;2.4691e-07;2.13965e-07
4.10888e+06;-1.9248e-07;-2.39721e-07
4.1162e+06;1.3662e-07;5.19609e-08
4.12353e+06;-5.95331e-07;1.00732e-07
4.13085e+06;8.35766e-07;4.56546e-07
4.13818e+06;-2.21999e-07;-6.49614e-07
4.1455e+06;3.13552e-08;1.33403e-07
4.15282e+06;-2.61611e-07;-1.78311e-07
4.16015e+06;-8.49136e-08;3.80369e-07
4.16747e+06;3.06221e-07;-4.95633e-08
4.1748e+06;-6.59262e-09;-3.67205e-08
4.18212e+06;-1.15119e-08;-3.0972e-07
4.18944e+06;-3.46531e-07;2.27561e-07
4.19677e+06;1.77743e-07;2.7013e-07
4.20409e+06;2.9198e-07;-3.35662e-07
4.21142e+06;-4.66065e-07;2.7097e-07
4.21874e+06;4.63381e-07;-1.39947e-07
4.22607e+06;-4.20463e-08;2.60653e-07
4.23339e+06;2.30282e-07;-7.71126e-07
4.24071e+06;-7.38255e-07;3.20495e-07
4.24804e+06;3.72999e-07;1.75773e-07
4.25536e+06;-1.72036e-07;-2.77861e-08
