"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
2.34375e+06;-4.69031e-07;-2.65264e-07
2.35107e+06;-1.91528e-07;-9.75741e-09
2.35839e+06;-1.95801e-07;3.94319e-07
2.36572e+06;2.97171e-07;2.67925e-07
2.37304e+06;5.20758e-07;-5.16587e-07
2.38037e+06;-7.58016e-07;-3.31304e-08
2.38769e+06;2.41664e-07;4.46122e-08
2.39501e+06;-1.44663e-07;3.27512e-07
2.40234e+06;1.75216e-07;-3.68403e-07
2.40966e+06;-2.75585e-07;4.77471e-07
2.41699e+06;6.28361e-07;-2.20064e-07
2.42431e+06;-3.88195e-07;-2.63161e-07
2.43164e+06;-1.2646e-07;1.58648e-07
2.43896e+06;4.3816e-07;1.64876e-07
2.44628e+06;-5.89319e-07;-7.64458e-07
2.45361e+06;-3.00019e-08;1.21232e-06
2.46093e+06;5.38541e-07;-6.69389e-07
2.46826e+06;-1.72708e-07;2.77493e-07
2.47558e+06;9.24388e-08;-4.8533e-07
2.48291e+06;-2.84191e-07;2.32224e-07
2.49023e+06;-1.65723e-07;-8.73911e-08
2.49755e+06;2.07579e-07;6.47281e-07
2.50488e+06;2.4587e-07;-6.80114e-07
2.5122e+06;-3.47355e-07;5.08787e-07
2.51953e+06;3.91973e-07;-2.05583e-07
2.52685e+06;1.80773e-07;9.97414e-08
2.53417e+06;-2.0922e-07;-8.05965e-07
2.5415e+06;-4.27011e-07;6.52496e-07
2.54882e+06;1.58973e-07;-1.12181e-07
2.55615e+06;1.57343e-07;2.86292e-07
2.56347e+06;1.159e-07;-2.07376e-07
2.5708e+06;9.95515e-08;-4.18779e-07
2.57812e+06;-8.78787e-07;3.40571e-07
2.58544e+06;8.51339e-07;3.11699e-07
2.59277e+06;-2.88412e-07;-1.80517e-07
2.60009e+06;4.82048e-07;-2.92073e-07
2.60742e+06;-7.57651e-07;-2.14113e-07
2.61474e+06;-1.1527e-07;6.18733e-07
2.62207e+06;6.09527e-07;9.28397e-08
2.62939e+06;-1.93633e-07;-3.67177e-07
2.63671e+06;4.43314e-08;2.14964e-07
2.64404e+06;6.43359e-08;-5.92565e-08
2.65136e+06;1.47317e-07;-1.73513e-07
2.65869e+06;-2.37125e-07;-1.33755e-07
2.66601e+06;-2.50172e-07;7.44802e-08
2.67333e+06;2.16321e-07;2.56794e-07
2.68066e+06;-2.77738e-07;-1.04652e-07
2.68798e+06;5.59998e-07;3.87345e-07
2.69531e+06;-3.39535e-07;-6.95647e-07
2.70263e+06;2.31794e-07;7.14678e-07
2.70996e+06;-4.07533e-09;-8.35882e-07
2.71728e+06;-4.52637e-07;3.46707e-07
2.7246e+06;3.40672e-08;3.63747e-07
2.73193e+06;3.61128e-07;1.85957e-07
2.73925e+06;6.23701e-07;-4.52912e-07
2.74658e+06;-8.08813e-07;-5.4713e-07
2.7539e+06;-1.11914e-07;5.84746e-07
2.76122e+06;2.25126e-07;8.08793e-09
2.76855e+06;-1.00447e-07;-4.81303e-08
2.77587e+06;2.02217e-07;2.45761e-07
2.7832e+06;2.61814e-07;-5.63751e-07
2.79052e+06;-8.58515e-07;-7.20034e-08
2.79785e+06;1.81654e-07;9.33835e-07
2.80517e+06;7.64e-07;-4.05266e-07
2.81249e+06;-4.21931e-07;-4.05116e-07
2.81982e+06;-1.57314e-07;2.36127e-07
2.82714e+06;7.7607e-08;1.15568e-07
2.83447e+06;1.38365e-07;-8.1091e-08
2.84179e+06;-5.36221e-08;-2.04932e-08
2.84912e+06;-6.46639e-08;-2.68066e-07
2.85644e+06;-3.74098e-07;5.45785e-07
2.86376e+06;7.2308e-07;-1.03612e-07
2.87109e+06;-2.54943e-07;-2.45079e-07
2.87841e+06;-2.35179e-07;-5.33573e-08
2.88574e+06;3.63961e-07;3.98187e-07
2.89306e+06;-3.16589e-07;-5.68986e-07
2.90038e+06;1.20407e-07;3.8318e-07
2.90771e+06;-2.63264e-07;1.8897e-07
2.91503e+06;7.57634e-07;-3.01425e-07
2.92236e+06;-5.26342e-07;8.69234e-09
2.92968e+06;-6.69833e-08;-4.47861e-07
2.93701e+06;-1.8267e-07;9.4886e-07
2.94433e+06;4.81025e-07;-4.7527e-07
2.95165e+06;2.87491e-08;-5.7406e-08
2.95898e+06;-6.89113e-07;-1.5046e-07
2.9663e+06;8.26776e-07;9.41709e-07
2.97363e+06;2.12072e-08;-1.51931e-06
2.98095e+06;-8.36585e-07;7.70146e-07
2.98828e+06;3.01541e-07;6.67749e-08
2.9956e+06;2.66874e-07;5.66765e-08
3.00292e+06;-4.64637e-07;-1.19272e-07
3.01025e+06;7.20862e-07;3.88113e-07
3.01757e+06;-3.90852e-07;-6.03623e-07
3.0249e+06;2.11764e-07;1.65285e-07
3.03222e+06;-5.08855e-07;4.81853e-08
3.03954e+06;6.26344e-07;7.66672e-08
3.04687e+06;-4.57655e-07;-1.34762e-07
3.05419e+06;3.69298e-07;-1.93136e-07
3.06152e+06;-7.45278e-07;2.94925e-07
3.06884e+06;6.68801e-07;2.54136e-08
3.07617e+06;-3.84286e-07;1.11619e-07
3.08349e+06;4.67664e-07;-2.3227e-07
3.09081e+06;-7.13375e-07;1.78842e-07
3.09814e+06;8.92302e-07;3.91028e-07
3.10546e+06;-1.00404e-07;-7.40551e-07
3.11279e+06;-4.07605e-07;-1.5156e-08
3.12011e+06;1.22892e-07;4.83559e-07
3.12744e+06;1.3221e-07;-6.3229e-07
3.13476e+06;-6.80247e-07;5.15742e-07
3.14208e+06;9.53317e-07;3.25651e-07
3.14941e+06;-2.90841e-07;-1.01337e-06
3.15673e+06;-3.9007e-07;5.51325e-07
3.16406e+06;-1.45539e-07;1.67522e-07
3.17138e+06;8.03499e-07;1.60469e-07
